CO2,PM10,PM25,NO,NO2,O3,SO2,AQI
403.0,45.6,35.5,1.98,39.76,4.38,33.38,1.0
463.0,45.0,31.4,1.98,39.76,4.38,33.38,1.0
463.0,45.0,31.4,1.98,39.76,4.38,33.38,1.0
449.0,41.7,29.3,1.98,39.76,4.38,33.38,1.0
418.0,32.6,24.4,1.98,39.76,4.38,33.38,1.0
418.0,32.6,24.4,1.98,39.76,4.38,33.38,1.0
462.0,31.1,23.3,1.98,39.76,4.38,33.38,1.0
446.0,31.9,21.1,1.98,39.76,4.38,33.38,1.0
431.0,26.3,17.6,1.98,39.76,4.38,33.38,1.0
444.0,30.1,18.0,1.98,39.76,4.38,33.38,1.0
444.0,30.1,18.0,1.98,39.76,4.38,33.38,1.0
464.0,33.4,18.5,1.98,39.76,4.38,33.38,1.0
464.0,33.4,18.5,1.98,39.76,4.38,33.38,1.0
491.0,29.8,18.3,1.98,39.76,4.38,33.38,1.0
491.0,29.8,18.3,1.98,39.76,4.38,33.38,1.0
478.0,29.6,17.7,1.98,39.76,4.38,33.38,1.0
453.0,27.4,16.8,1.98,39.76,4.38,33.38,1.0
485.0,28.9,17.5,1.98,39.76,4.38,33.38,2.0
485.0,28.9,17.5,1.98,39.76,4.38,33.38,2.0
495.0,28.5,16.9,1.98,39.76,4.38,33.38,2.0
495.0,28.5,16.9,1.98,39.76,4.38,33.38,2.0
504.0,29.9,16.9,1.98,39.76,4.38,33.38,2.0
421.0,22.8,16.3,6.2,37.36,0.92,34.81,1.0
421.0,22.8,16.3,6.2,37.36,0.92,34.81,1.0
491.0,20.9,16.1,6.2,37.36,0.92,34.81,2.0
491.0,20.9,16.1,6.2,37.36,0.92,34.81,2.0
436.0,23.2,18.0,6.2,37.36,0.92,34.81,1.0
453.0,23.6,20.3,6.2,37.36,0.92,34.81,1.0
488.0,23.8,17.5,6.2,37.36,0.92,34.81,1.0
413.0,22.0,19.0,6.2,37.36,0.92,34.81,1.0
426.0,26.8,23.9,6.2,37.36,0.92,34.81,1.0
462.0,22.0,19.3,6.2,37.36,0.92,34.81,1.0
498.0,21.3,18.9,6.2,37.36,0.92,34.81,2.0
447.0,25.2,22.3,6.2,37.36,0.92,34.81,1.0
447.0,25.2,22.3,6.2,37.36,0.92,34.81,1.0
489.0,24.3,21.7,6.2,37.36,0.92,34.81,2.0
489.0,24.3,21.7,6.2,37.36,0.92,34.81,1.0
417.0,25.3,22.0,6.2,37.36,0.92,34.81,1.0
423.0,28.2,25.1,6.2,37.36,0.92,34.81,1.0
423.0,28.2,25.1,6.2,37.36,0.92,34.81,1.0
450.0,24.3,21.0,6.2,37.36,0.92,34.81,1.0
422.0,22.0,19.0,6.2,37.36,0.92,34.81,1.0
422.0,22.0,19.0,6.2,37.36,0.92,34.81,1.0
473.0,22.9,19.6,6.2,37.36,0.92,34.81,1.0
471.0,22.0,19.5,6.2,37.36,0.92,34.81,1.0
471.0,22.0,19.5,6.2,37.36,0.92,34.81,1.0
459.0,23.6,19.8,6.2,37.36,0.92,34.81,1.0
477.0,21.8,18.8,6.2,37.36,0.92,34.81,2.0
477.0,21.8,18.8,6.2,37.36,0.92,34.81,2.0
485.0,17.8,15.5,6.2,37.36,0.92,34.81,1.0
509.0,20.9,16.6,6.2,37.36,0.92,34.81,2.0
509.0,20.9,16.6,6.2,37.36,0.92,34.81,2.0
407.0,207.6,128.4,6.2,37.36,0.92,34.81,1.0
460.0,88.8,56.7,6.2,37.36,0.92,34.81,1.0
460.0,88.8,56.7,6.2,37.36,0.92,34.81,1.0
523.0,122.4,89.2,6.2,37.36,0.92,34.81,2.0
553.0,104.3,76.5,6.2,37.36,0.92,34.81,2.0
553.0,104.3,76.5,6.2,37.36,0.92,34.81,2.0
499.0,85.3,59.4,6.2,37.36,0.92,34.81,2.0
539.0,61.3,45.6,6.2,37.36,0.92,34.81,2.0
539.0,61.3,45.6,6.2,37.36,0.92,34.81,2.0
650.0,51.6,40.6,6.2,37.36,0.92,34.81,2.0
567.0,54.7,42.0,6.2,37.36,0.92,34.81,2.0
580.0,46.6,36.2,6.2,37.36,0.92,34.81,2.0
554.0,46.6,36.2,6.2,37.36,0.92,34.81,2.0
573.0,45.4,33.4,6.2,37.36,0.92,34.81,2.0
543.0,40.6,30.7,6.2,37.36,0.92,34.81,2.0
543.0,40.6,30.7,6.2,37.36,0.92,34.81,2.0
549.0,32.7,25.5,6.2,37.36,0.92,34.81,2.0
586.0,31.7,24.5,6.2,37.36,0.92,34.81,2.0
586.0,31.7,24.5,6.2,37.36,0.92,34.81,2.0
514.0,32.0,25.3,6.2,37.36,0.92,34.81,2.0
553.0,31.2,24.1,6.2,37.36,0.92,34.81,2.0
553.0,31.2,24.1,6.2,37.36,0.92,34.81,2.0
